"","coral_num","umol.cm2.hr","Rate.ln","Temp.C","temp","wound","timepoint"
"276",35,0.223071133680711,-1.12988275189247,29.9448103448276,"H",1,"day10"
"277",45,0.360358967173756,-0.775748730403009,29.9542272727273,"H",2,"day10"
"278",47,0.349083479280897,-0.800546485846758,30.0774310344828,"H",0,"day10"
"279",50,0.283298494864486,-0.958941233385269,30.0636515151515,"H",1,"day10"
"280",55,0.408946749219508,-0.675411886333761,30.2304090909091,"H",2,"day10"
"281",60,0.340822189442919,-0.819113683383813,30.0546724137931,"H",0,"day10"
"282",70,0.38107554086904,-0.731730971583593,30.2158939393939,"H",1,"day10"
"283",73,0.390031014428851,-0.713286595127736,30.1046034482759,"H",2,"day10"
"284",84,0.328490153383627,-0.847487520476412,30.2310454545455,"H",1,"day10"
"285",89,0.375086584336667,-0.744258208744953,30.1514090909091,"H",0,"day10"
"286",94,0.346553560168733,-0.806195930274611,30.354775862069,"H",2,"day10"
"287",96,0.312033278797905,-0.886651159113313,30.0740151515152,"H",1,"day10"
"288",99,0.262099353661605,-1.01583664718423,30.1706515151515,"H",0,"day10"
"289",1,0.277681380767747,-0.973704346831103,28.1583666666667,"A",0,"day10"
"290",102,0.497736800602677,-0.514604754689806,27.9061363636364,"A",2,"day10"
"291",105,0.319211052368281,-0.869380780940515,27.8961666666667,"A",1,"day10"
"292",107,0.323129180797932,-0.860077754601205,28.0598,"A",0,"day10"
"293",21,0.249574011946836,-1.05103997450037,27.9724696969697,"A",0,"day10"
"294",22,0.274776551715778,-0.981425292699353,27.8918787878788,"A",1,"day10"
"295",27,0.202199050382226,-1.19666937149713,28.1084,"A",2,"day10"
"296",38,0.434288858463831,-0.626818652820835,27.8847727272727,"A",1,"day10"
"297",4,0.33226905776895,-0.838707065699623,28.0855166666667,"A",2,"day10"
"298",44,0.343586942408811,-0.812861459446798,27.9410454545455,"A",2,"day10"
"299",53,0.380475708435026,-0.732978606615539,28.0317272727273,"A",0,"day10"
"300",6,0.290653052319798,-0.939935447131286,28.1355,"A",1,"day10"
"301",64,0.599818992931608,-0.356933558902974,28.0043484848485,"A",0,"day10"
"302",65,0.374530018348082,-0.74543039981815,27.98105,"A",2,"day10"
"304",82,0.409337158566549,-0.674645087677346,27.7603333333333,"A",2,"day10"
"305",83,0.374999715039696,-0.744441074864106,28.1237833333333,"A",0,"day10"
"306",88,0.441658030184311,-0.613120417288638,28.1442333333333,"A",1,"day10"
